	alpha	epsilon	gamma	penalties	penalties_last_10	perc_to_deadline	perc_to_deadline_last_10	scores	scores_last_10	steps	steps_last_10	successes	successes_last_10
47	0.2	1.0	0.2	611.3	27.85	1.08435049423	0.544137409812	2143.35	264.675	1829.3	264.675	76.3	9.7
48	0.2	0.0	0.4	760.05	39.0	1.24941577922	0.631417857143	2132.325	278.325	1948.2	278.325	69.75	9.25
49	0.2	0.2	0.4	750.35	41.7	1.23676247114	0.632898809524	2110.7	285.85	1918.2	285.85	70.0	9.4
50	0.2	0.4	0.4	782.65	40.0	1.27498540404	0.593800865801	2146.7	284.1	1989.85	284.1	69.2	9.4
51	0.2	0.6	0.4	758.9	39.85	1.24297848846	0.604546789322	2112.175	278.225	1936.85	278.225	69.5	9.4
52	0.2	0.8	0.4	738.65	45.15	1.21281965368	0.654143253968	2119.475	290.475	1904.5	290.475	70.7	9.3
53	0.2	1.0	0.4	760.6	41.3	1.26420713564	0.659123015873	2127.725	281.15	1949.65	281.15	69.0	9.2
54	0.2	0.0	0.6	861.35	41.85	1.44812026696	0.6311	1941.975	281.45	2059.6	281.45	62.3	9.3
55	0.2	0.2	0.6	908.5	45.3	1.4861990873	0.675655339105	1902.95	277.35	2115.65	277.35	60.6	9.1
56	0.2	0.4	0.6	919.45	51.15	1.51113667749	0.834171428571	1889.975	281.425	2123.15	281.425	60.1	8.65
57	0.2	0.6	0.6	847.15	47.25	1.39946037157	0.746527813853	1966.8	286.275	2043.4	286.275	64.3	8.9
58	0.2	0.8	0.6	834.4	45.45	1.40036109307	0.766453066378	1966.325	277.675	2027.95	277.675	63.35	8.8
59	0.2	1.0	0.6	913.9	49.0	1.53120157287	0.780010497835	1872.8	274.375	2118.15	274.375	59.3	8.75
60	0.2	0.0	0.8	1136.35	78.8	1.86445698773	1.25716388889	1533.9	248.375	2398.65	248.375	46.2	6.95
61	0.2	0.2	0.8	1037.6	51.2	1.70187454545	0.730248520924	1604.775	265.175	2254.65	265.175	52.35	8.85
62	0.2	0.4	0.8	1042.8	62.9	1.70698573593	0.99128030303	1549.65	248.175	2237.5	248.175	51.45	7.9
63	0.2	0.6	0.8	1011.4	46.35	1.66023612193	0.725195310245	1614.475	272.525	2213.75	272.525	53.6	8.85
64	0.2	0.8	0.8	1035.45	62.55	1.69739494589	1.01065090188	1624.925	261.875	2249.8	261.875	52.7	7.9
65	0.2	1.0	0.8	1087.4	77.95	1.80052181097	1.12230984848	1562.675	240.175	2316.95	240.175	48.3	7.45
66	0.2	0.0	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3082.25	0.0	0.0	0.0
67	0.2	0.2	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3085.75	0.0	0.0	0.0
68	0.2	0.4	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3076.5	0.0	0.0	0.0
69	0.2	0.6	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3069.5	0.0	0.0	0.0
70	0.2	0.8	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3105.5	0.0	0.0	0.0
71	0.2	1.0	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3083.0	0.0	0.0	0.0
72	0.4	0.0	0.0	166.3	2.4	0.635473077201	0.411856349206	2079.85	223.925	1469.8	223.925	92.0	9.95
73	0.4	0.2	0.0	166.5	3.45	0.622313939394	0.478201262626	2089.925	225.725	1469.55	225.725	92.15	9.75
74	0.4	0.4	0.0	166.55	2.95	0.641180815296	0.423481096681	2092.475	226.025	1491.5	226.025	91.95	10.0
75	0.4	0.6	0.0	164.3	2.7	0.635620642136	0.383818001443	2091.1	219.85	1481.7	219.85	92.3	10.0
76	0.4	0.8	0.0	165.45	2.95	0.624522900433	0.409217316017	2087.075	222.5	1473.8	222.5	92.3	10.0
77	0.4	1.0	0.0	165.95	3.05	0.630499805195	0.42172987013	2091.125	225.125	1493.25	225.125	92.3	9.95
78	0.4	0.0	0.2	272.55	5.15	0.725263437951	0.449873520924	2167.4	231.35	1552.9	231.35	88.85	9.95
79	0.4	0.2	0.2	258.85	4.7	0.736806922799	0.421810714286	2130.575	226.1	1558.95	226.1	88.55	9.95
80	0.4	0.4	0.2	260.95	6.25	0.714403722944	0.439879437229	2147.075	228.425	1555.7	228.425	89.25	9.95
81	0.4	0.6	0.2	280.2	6.3	0.732652676768	0.430470310245	2147.625	226.8	1548.4	226.8	88.9	9.9
82	0.4	0.8	0.2	277.65	5.4	0.714676215729	0.430787878788	2169.25	228.225	1541.45	228.225	89.2	9.9
83	0.4	1.0	0.2	272.75	5.8	0.755771547619	0.458073015873	2139.775	226.05	1558.85	226.05	87.9	9.9
84	0.4	0.0	0.4	593.15	42.15	0.932974877345	0.557652886003	2503.375	280.675	1748.4	280.675	81.9	9.55
85	0.4	0.2	0.4	590.6	43.75	0.952526821789	0.718370851371	2467.575	285.225	1733.95	285.225	80.75	9.0
86	0.4	0.4	0.4	585.45	43.2	0.959186782107	0.630670165945	2439.675	286.95	1714.45	286.95	80.6	9.4
87	0.4	0.6	0.4	585.25	38.4	0.932956497114	0.539593398268	2491.325	274.575	1730.9	274.575	81.85	9.55
88	0.4	0.8	0.4	597.65	43.9	0.972930454545	0.7310501443	2505.2	304.75	1761.7	304.75	80.4	9.15
89	0.4	1.0	0.4	590.75	43.9	0.946614116162	0.665254761905	2497.425	281.55	1746.7	281.55	80.95	9.1
90	0.4	0.0	0.6	683.9	43.9	1.14399207792	0.699831673882	2323.85	276.575	1851.9	276.575	73.45	9.05
91	0.4	0.2	0.6	675.65	43.15	1.12219967532	0.633039069264	2286.025	281.275	1816.5	281.275	74.1	9.3
92	0.4	0.4	0.6	702.45	50.6	1.1505818759	0.740976623377	2332.75	281.7	1878.8	281.7	73.25	9.0
93	0.4	0.6	0.6	691.85	42.45	1.12932407287	0.59884992785	2348.625	285.1	1869.95	285.1	74.2	9.45
94	0.4	0.8	0.6	688.95	43.45	1.13480234488	0.744904545455	2341.525	282.425	1859.6	282.425	74.3	8.85
95	0.4	1.0	0.6	699.05	41.15	1.12938931818	0.606571139971	2320.25	283.45	1866.8	283.45	74.3	9.4
96	0.4	0.0	0.8	884.9	56.65	1.45900286797	0.950985281385	2003.425	275.175	2073.5	275.175	62.2	8.1
97	0.4	0.2	0.8	879.75	63.45	1.41249701299	0.882744300144	2063.325	277.375	2082.95	277.375	63.45	8.4
98	0.4	0.4	0.8	827.5	46.9	1.37565935786	0.82269549062	2078.725	281.475	2013.85	281.475	64.9	8.5
99	0.4	0.6	0.8	823.3	50.8	1.39006406205	0.791724386724	2090.5	270.475	2013.9	270.475	64.35	8.65
100	0.4	0.8	0.8	875.6	60.1	1.40534988095	0.943246717172	2078.275	280.325	2076.5	280.325	63.65	8.15
101	0.4	1.0	0.8	841.7	47.45	1.36573554473	0.749985569986	2105.8	284.7	2039.15	284.7	65.65	8.9
102	0.4	0.0	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3077.5	0.0	0.0	0.0
103	0.4	0.2	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3092.75	0.0	0.0	0.0
104	0.4	0.4	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3084.0	0.0	0.0	0.0
105	0.4	0.6	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3104.75	0.0	0.0	0.0
106	0.4	0.8	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3109.5	0.0	0.0	0.0
107	0.4	1.0	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3106.75	0.0	0.0	0.0
108	0.6	0.0	0.0	103.05	2.55	0.528969044012	0.414826406926	2158.95	225.675	1396.9	225.675	95.55	9.95
109	0.6	0.2	0.0	103.95	2.4	0.546576580087	0.460736471861	2166.375	222.9	1449.9	222.9	95.45	9.9
110	0.6	0.4	0.0	101.0	2.25	0.539111464646	0.406447799423	2158.6	221.325	1404.6	221.325	95.2	10.0
111	0.6	0.6	0.0	104.45	2.85	0.543463131313	0.424768470418	2169.125	226.35	1438.1	226.35	95.4	9.95
112	0.6	0.8	0.0	102.35	3.35	0.533563207071	0.422562121212	2147.8	226.325	1398.7	226.325	95.45	10.0
113	0.6	1.0	0.0	103.4	2.25	0.541586089466	0.434052380952	2146.975	215.875	1418.9	215.875	95.9	9.95
114	0.6	0.0	0.2	165.05	2.8	0.589131720779	0.430682539683	2167.475	226.7	1435.0	226.7	93.35	10.0
115	0.6	0.2	0.2	168.15	3.1	0.604400768398	0.412755411255	2182.275	224.775	1451.55	224.775	93.1	10.0
116	0.6	0.4	0.2	163.65	3.4	0.612033419913	0.424430411255	2166.55	225.925	1465.45	225.925	92.8	10.0
117	0.6	0.6	0.2	162.0	3.95	0.615964235209	0.449036111111	2142.95	220.525	1458.15	220.525	92.7	9.9
118	0.6	0.8	0.2	159.7	2.55	0.584884989177	0.45802463925	2156.4	220.775	1442.0	220.775	93.65	9.9
119	0.6	1.0	0.2	164.4	3.4	0.607406875902	0.402710714286	2153.175	221.925	1457.85	221.925	93.1	10.0
120	0.6	0.0	0.4	463.2	33.8	0.817292301587	0.650672655123	2524.325	276.1	1633.3	276.1	86.0	9.25
121	0.6	0.2	0.4	467.55	30.25	0.820862189755	0.626866666667	2479.625	262.175	1622.95	262.175	86.05	9.35
122	0.6	0.4	0.4	468.1	33.95	0.803573921356	0.6313002886	2519.325	263.675	1630.65	263.675	86.6	9.2
123	0.6	0.6	0.4	457.15	29.05	0.786128906926	0.539897186147	2512.475	268.95	1595.85	268.95	87.15	9.5
124	0.6	0.8	0.4	505.2	38.1	0.812868116883	0.614179906205	2583.2	272.425	1629.15	272.425	86.6	9.35
125	0.6	1.0	0.4	523.0	37.35	0.837545674603	0.635136471861	2628.925	276.275	1676.95	276.275	85.75	9.2
126	0.6	0.0	0.6	612.85	44.25	0.986934902597	0.637484199134	2493.45	289.875	1767.25	289.875	79.65	9.35
127	0.6	0.2	0.6	602.0	44.85	0.990604426407	0.654420238095	2514.725	278.0	1766.75	278.0	79.2	9.15
128	0.6	0.4	0.6	605.3	43.5	0.98176047619	0.633160533911	2506.95	271.75	1767.65	271.75	79.95	9.3
129	0.6	0.6	0.6	608.05	42.95	0.997808495671	0.681787301587	2517.725	275.625	1779.1	275.625	79.55	9.0
130	0.6	0.8	0.6	605.65	47.1	1.00226748557	0.660444191919	2552.15	297.65	1788.45	297.65	79.6	9.45
131	0.6	1.0	0.6	607.85	39.05	0.98302790404	0.542607431457	2472.2	278.1	1753.8	278.1	79.6	9.5
132	0.6	0.0	0.8	743.95	46.75	1.23729333694	0.829497294372	2309.15	279.2	1949.65	279.2	70.0	8.55
133	0.6	0.2	0.8	736.1	45.05	1.17079370491	0.682737518038	2292.325	290.45	1909.5	290.45	72.6	9.15
134	0.6	0.4	0.8	772.05	47.1	1.24499459235	0.664461111111	2212.7	268.675	1935.35	268.675	69.8	9.1
135	0.6	0.6	0.8	788.05	49.45	1.3137289899	0.76024047619	2291.9	274.525	2009.25	274.525	67.5	8.85
136	0.6	0.8	0.8	757.6	48.35	1.29851566378	0.901908838384	2304.225	284.25	1970.65	284.25	67.95	8.45
137	0.6	1.0	0.8	805.05	54.4	1.26726326118	0.81708982684	2209.1	272.95	1977.0	272.95	69.1	8.6
138	0.6	0.0	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3086.5	0.0	0.0	0.0
139	0.6	0.2	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3062.75	0.0	0.0	0.0
140	0.6	0.4	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3096.75	0.0	0.0	0.0
141	0.6	0.6	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3108.0	0.0	0.0	0.0
142	0.6	0.8	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3053.75	0.0	0.0	0.0
143	0.6	1.0	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3076.5	0.0	0.0	0.0
144	0.8	0.0	0.0	70.65	2.5	0.479079062049	0.398313672439	2175.625	226.625	1346.05	226.625	97.4	10.0
145	0.8	0.2	0.0	70.95	2.2	0.487833069986	0.432451406926	2179.675	229.2	1345.95	229.2	96.95	9.95
146	0.8	0.4	0.0	70.35	3.15	0.490098795094	0.423266269841	2185.5	217.675	1382.0	217.675	97.25	9.9
147	0.8	0.6	0.0	69.95	2.1	0.477022640693	0.441141305916	2185.575	226.2	1355.1	226.2	97.5	9.9
148	0.8	0.8	0.0	72.55	2.75	0.502220324675	0.453504004329	2181.05	225.15	1374.2	225.15	97.1	9.9
149	0.8	1.0	0.0	69.6	2.25	0.478318253968	0.388518145743	2192.425	225.225	1349.2	225.225	97.4	10.0
150	0.8	0.0	0.2	111.05	2.35	0.535386125541	0.455283513709	2174.2	221.55	1406.1	221.55	95.35	9.85
151	0.8	0.2	0.2	109.25	2.0	0.529301948052	0.402261507937	2170.7	217.6	1387.4	217.6	95.75	9.95
152	0.8	0.4	0.2	110.55	2.4	0.545895018038	0.424158874459	2168.625	224.425	1427.1	224.425	95.2	9.9
153	0.8	0.6	0.2	111.7	2.75	0.544161453824	0.437727056277	2174.1	226.475	1414.25	226.475	95.25	10.0
154	0.8	0.8	0.2	108.45	3.6	0.53872041847	0.437711255411	2178.525	224.9	1412.85	224.9	95.75	9.95
155	0.8	1.0	0.2	111.05	3.05	0.542487839105	0.430868650794	2169.775	223.5	1412.7	223.5	95.3	9.95
156	0.8	0.0	0.4	243.4	3.65	0.677441515152	0.412521969697	2270.05	228.3	1531.6	228.3	91.1	9.95
157	0.8	0.2	0.4	244.35	5.5	0.665169036797	0.431361291486	2275.4	227.225	1498.1	227.225	91.05	9.85
158	0.8	0.4	0.4	247.25	5.45	0.659622279942	0.473919155844	2288.7	225.025	1491.95	225.025	91.3	9.9
159	0.8	0.6	0.4	246.7	5.55	0.642280981241	0.476348088023	2313.25	230.05	1515.85	230.05	92.1	9.85
160	0.8	0.8	0.4	243.8	4.95	0.638501154401	0.490414069264	2291.35	226.3	1490.45	226.3	91.8	9.65
161	0.8	1.0	0.4	283.85	9.25	0.684837839105	0.440252813853	2335.35	234.85	1513.25	234.85	90.6	9.95
162	0.8	0.0	0.6	550.35	44.9	0.877803185426	0.693312950938	2620.975	290.725	1706.7	290.725	84.0	9.1
163	0.8	0.2	0.6	544.3	36.55	0.890006645022	0.521132467532	2561.55	280.925	1674.55	280.925	83.45	9.6
164	0.8	0.4	0.6	550.25	45.4	0.903303333333	0.696738816739	2564.575	283.15	1685.1	283.15	83.0	9.2
165	0.8	0.6	0.6	539.05	44.05	0.876306255411	0.625009163059	2602.925	304.85	1684.65	304.85	84.1	9.65
166	0.8	0.8	0.6	547.25	42.4	0.897345299423	0.702830699856	2562.025	274.475	1677.95	274.475	83.25	9.1
167	0.8	1.0	0.6	549.65	46.45	0.8619695671	0.678972402597	2579.85	289.2	1687.3	289.2	84.25	9.25
168	0.8	0.0	0.8	698.2	51.0	1.14607642496	0.774863095238	2339.975	272.475	1857.85	272.475	74.0	8.8
169	0.8	0.2	0.8	726.3	52.1	1.21863339466	0.88500537518	2388.2	281.975	1937.35	281.975	71.25	8.45
170	0.8	0.4	0.8	684.15	47.85	1.12327517316	0.711835353535	2373.825	262.35	1853.45	262.35	74.5	9.0
171	0.8	0.6	0.8	686.3	46.0	1.1525813456	0.742083333333	2408.65	289.65	1874.8	289.65	73.5	9.05
172	0.8	0.8	0.8	687.2	44.7	1.15431636003	0.852724819625	2438.475	276.95	1892.6	276.95	73.45	8.35
173	0.8	1.0	0.8	698.4	44.4	1.14472516234	0.669812301587	2372.825	283.75	1872.65	283.75	74.25	9.3
174	0.8	0.0	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3075.25	0.0	0.0	0.0
175	0.8	0.2	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3139.25	0.0	0.0	0.0
176	0.8	0.4	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3098.25	0.0	0.0	0.0
177	0.8	0.6	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3049.5	0.0	0.0	0.0
178	0.8	0.8	1.0	0.0	0.0	3.0	3.0	0.0	0.0	3085.25	0.0	0.0	0.0
