	alpha	avg_perc_to_deadline	avg_perc_to_deadline_last_10	eps_iters	epsilon	gamma	last_10_successes	scores	scores_last_10	successes
0	0.0	3.0	3.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.0	3.0	3.0	101.0	0.2	0.0	0.0	0.0	0.0	0.0
2	0.0	3.0	3.0	101.0	0.4	0.0	0.0	0.0	0.0	0.0
3	0.0	3.0	3.0	101.0	0.6	0.0	0.0	0.0	0.0	0.0
4	0.0	3.0	3.0	101.0	0.8	0.0	0.0	0.0	0.0	0.0
5	0.0	3.0	3.0	101.0	1.0	0.0	0.0	0.0	0.0	0.0
6	0.0	3.0	3.0	101.0	0.0	0.2	0.0	0.0	0.0	0.0
7	0.0	3.0	3.0	101.0	0.2	0.2	0.0	0.0	0.0	0.0
8	0.0	3.0	3.0	101.0	0.4	0.2	0.0	0.0	0.0	0.0
9	0.0	3.0	3.0	101.0	0.6	0.2	0.0	0.0	0.0	0.0
10	0.0	3.0	3.0	101.0	0.8	0.2	0.0	0.0	0.0	0.0
11	0.0	3.0	3.0	101.0	1.0	0.2	0.0	0.0	0.0	0.0
12	0.0	3.0	3.0	101.0	0.0	0.4	0.0	0.0	0.0	0.0
13	0.0	3.0	3.0	101.0	0.2	0.4	0.0	0.0	0.0	0.0
14	0.0	3.0	3.0	101.0	0.4	0.4	0.0	0.0	0.0	0.0
15	0.0	3.0	3.0	101.0	0.6	0.4	0.0	0.0	0.0	0.0
16	0.0	3.0	3.0	101.0	0.8	0.4	0.0	0.0	0.0	0.0
17	0.0	3.0	3.0	101.0	1.0	0.4	0.0	0.0	0.0	0.0
18	0.0	3.0	3.0	101.0	0.0	0.6	0.0	0.0	0.0	0.0
19	0.0	3.0	3.0	101.0	0.2	0.6	0.0	0.0	0.0	0.0
20	0.0	3.0	3.0	101.0	0.4	0.6	0.0	0.0	0.0	0.0
21	0.0	3.0	3.0	101.0	0.6	0.6	0.0	0.0	0.0	0.0
22	0.0	3.0	3.0	101.0	0.8	0.6	0.0	0.0	0.0	0.0
23	0.0	3.0	3.0	101.0	1.0	0.6	0.0	0.0	0.0	0.0
24	0.0	3.0	3.0	101.0	0.0	0.8	0.0	0.0	0.0	0.0
25	0.0	3.0	3.0	101.0	0.2	0.8	0.0	0.0	0.0	0.0
26	0.0	3.0	3.0	101.0	0.4	0.8	0.0	0.0	0.0	0.0
27	0.0	3.0	3.0	101.0	0.6	0.8	0.0	0.0	0.0	0.0
28	0.0	3.0	3.0	101.0	0.8	0.8	0.0	0.0	0.0	0.0
29	0.0	3.0	3.0	101.0	1.0	0.8	0.0	0.0	0.0	0.0
30	0.0	3.0	3.0	101.0	0.0	1.0	0.0	0.0	0.0	0.0
31	0.0	3.0	3.0	101.0	0.2	1.0	0.0	0.0	0.0	0.0
32	0.0	3.0	3.0	101.0	0.4	1.0	0.0	0.0	0.0	0.0
33	0.0	3.0	3.0	101.0	0.6	1.0	0.0	0.0	0.0	0.0
34	0.0	3.0	3.0	101.0	0.8	1.0	0.0	0.0	0.0	0.0
35	0.0	3.0	3.0	101.0	1.0	1.0	0.0	0.0	0.0	0.0
36	0.2	0.895157043794	0.15	5.55	0.0	0.0	9.95	1930.8	220.2	84.05
37	0.2	0.898402585378	0.0	32.45	0.2	0.0	10.0	1938.625	225.925	84.2
38	0.2	0.877739870932	0.0	51.4	0.4	0.0	10.0	1955.3	220.0	85.05
39	0.2	0.880462570146	0.0	72.35	0.6	0.0	10.0	1956.725	224.25	84.6
40	0.2	0.919237320295	0.23	93.75	0.8	0.0	9.85	1929.35	221.725	83.25
41	0.2	0.918886968895	0.0	101.0	1.0	0.0	10.0	1926.775	222.475	83.35
42	0.2	1.06501059877	0.117083333333	4.85	0.0	0.2	9.75	2068.4	240.2	78.45
43	0.2	1.09622936906	0.191875	36.2	0.2	0.2	9.65	2071.95	241.325	77.65
44	0.2	1.06029703805	0.2125	57.3	0.4	0.2	9.8	2073.2	238.375	79.0
45	0.2	1.08385321494	0.025	78.95	0.6	0.2	9.95	2034.9	244.025	77.8
46	0.2	1.07979393138	0.0	98.05	0.8	0.2	10.0	2101.9	243.6	78.65
47	0.2	1.07824655076	0.120803571429	101.0	1.0	0.2	9.8	2047.4	237.8	78.35
48	0.2	1.31461952975	0.591428571429	4.3	0.0	0.4	9.45	2166.625	286.075	70.25
49	0.2	1.29340424258	0.612077546296	40.25	0.2	0.4	9.1	2169.55	281.475	71.1
50	0.2	1.27517474855	0.343273809524	63.8	0.4	0.4	9.45	2140.475	284.075	71.2
51	0.2	1.25713084905	0.475267857143	84.5	0.6	0.4	9.4	2112.525	289.275	71.6
52	0.2	1.27648541222	0.476523809524	100.9	0.8	0.4	9.35	2132.275	278.75	71.2
53	0.2	1.28775902477	0.671547619048	101.0	1.0	0.4	9.25	2114.95	289.925	70.7
54	0.2	1.48707507049	0.6965625	6.55	0.0	0.6	8.9	1975.7	284.25	64.1
55	0.2	1.49683108954	0.53130952381	45.65	0.2	0.6	9.35	1937.5	277.225	63.7
56	0.2	1.46042798137	0.523095238095	69.1	0.4	0.6	9.05	1930.45	266.775	65.0
57	0.2	1.5470348928	0.658928571429	93.2	0.6	0.6	8.95	1902.2	287.625	61.9
58	0.2	1.50424400985	0.91619047619	101.0	0.8	0.6	8.4	1932.15	272.225	63.2
59	0.2	1.47384058365	0.789857142857	101.0	1.0	0.6	9.1	1906.825	281.925	63.9
60	0.2	1.7833941835	1.02741071429	6.45	0.0	0.8	8.55	1635.525	262.725	53.2
61	0.2	1.85149286682	0.829027777778	55.9	0.2	0.8	8.5	1519.2	268.6	50.35
62	0.2	1.8047887629	1.12122685185	83.2	0.4	0.8	8.35	1571.75	274.525	51.95
63	0.2	1.73440176322	0.744803571429	97.65	0.6	0.8	8.6	1651.025	259.475	55.25
64	0.2	1.72799709011	0.814214285714	101.0	0.8	0.8	8.55	1665.55	272.175	54.9
65	0.2	1.79937477787	1.05601190476	101.0	1.0	0.8	8.15	1622.125	271.625	53.0
66	0.2	3.0	3.0	101.0	0.0	1.0	0.0	0.0	0.0	0.0
67	0.2	3.0	3.0	101.0	0.2	1.0	0.0	0.0	0.0	0.0
68	0.2	3.0	3.0	101.0	0.4	1.0	0.0	0.0	0.0	0.0
69	0.2	3.0	3.0	101.0	0.6	1.0	0.0	0.0	0.0	0.0
70	0.2	3.0	3.0	101.0	0.8	1.0	0.0	0.0	0.0	0.0
71	0.2	3.0	3.0	101.0	1.0	1.0	0.0	0.0	0.0	0.0
72	0.4	0.635005603656	0.0	4.6	0.0	0.0	10.0	2088.3	222.025	92.65
73	0.4	0.636105270964	0.0	24.1	0.2	0.0	10.0	2095.925	218.65	92.85
74	0.4	0.637664965963	0.025	44.35	0.4	0.0	9.95	2102.375	222.2	92.4
75	0.4	0.625102946128	0.0	63.75	0.6	0.0	10.0	2106.4	223.25	93.1
76	0.4	0.619488770688	0.0551785714286	83.95	0.8	0.0	9.85	2083.625	218.1	92.85
77	0.4	0.629077753728	0.0	101.0	1.0	0.0	10.0	2087.175	221.025	92.4
78	0.4	0.714389283061	0.171428571429	4.5	0.0	0.2	9.9	2129.2	224.075	89.8
79	0.4	0.725395767196	0.0	26.95	0.2	0.2	10.0	2136.2	222.4	89.65
80	0.4	0.723899577184	0.165	46.9	0.4	0.2	9.9	2158.475	221.1	89.8
81	0.4	0.715731228047	0.0214285714286	66.95	0.6	0.2	9.95	2154.3	230.025	89.85
82	0.4	0.71388119127	0.0214285714286	87.05	0.8	0.2	9.95	2125.475	226.85	89.9
83	0.4	0.714719907562	0.15	101.0	1.0	0.2	9.95	2124.675	225.475	89.7
84	0.4	0.963566170755	0.477142857143	4.15	0.0	0.4	9.5	2485.175	295.675	81.85
85	0.4	0.963798393902	0.34755952381	30.5	0.2	0.4	9.35	2486.675	281.6	82.0
86	0.4	0.949397146299	0.481130952381	51.65	0.4	0.4	9.55	2477.1	283.15	82.75
87	0.4	0.982710780852	0.389027777778	73.5	0.6	0.4	9.6	2460.075	275.85	81.65
88	0.4	0.966965528072	0.257083333333	94.5	0.8	0.4	9.55	2473.7	262.675	82.15
89	0.4	0.933752634013	0.279761904762	101.0	1.0	0.4	9.5	2486.425	278.525	83.1
90	0.4	1.12074602493	0.426761904762	3.9	0.0	0.6	9.45	2303.225	275.45	76.4
91	0.4	1.12716265271	0.300535714286	35.0	0.2	0.6	9.5	2387.175	280.2	76.5
92	0.4	1.15521174168	0.543720238095	58.75	0.4	0.6	9.35	2331.2	276.275	75.25
93	0.4	1.12119024626	0.324345238095	78.15	0.6	0.6	9.45	2379.1	284.4	76.95
94	0.4	1.09196911908	0.75375	98.4	0.8	0.6	9.4	2352.525	287.35	77.55
95	0.4	1.08677114405	0.563492063492	101.0	1.0	0.6	9.35	2401.5	278.875	77.75
96	0.4	1.45984518788	0.830158730159	4.4	0.0	0.8	8.6	2061.5	260.475	64.7
97	0.4	1.35459775905	0.832232142857	41.55	0.2	0.8	8.55	2108.725	271.525	68.0
98	0.4	1.40135043907	0.651428571429	67.7	0.4	0.8	9.25	2095.8	283.45	66.85
99	0.4	1.37476196964	0.89494047619	87.55	0.6	0.8	8.75	2124.875	284.825	67.9
